date,store_id,item_id,qty_sold,price,on_promo,stockout_flag
2022-01-01,101,1001,51,73.40279606636548,1,0
2022-01-02,101,1001,33,100.05629167085328,0,0
2022-01-03,101,1001,28,195.48647782429916,0,0
2022-01-04,101,1001,16,95.63633644393066,0,1
2022-01-05,101,1001,26,128.71619903875836,0,0
2022-01-06,101,1001,18,107.3692986900744,0,1
2022-01-07,101,1001,24,141.13172778521576,0,0
2022-01-08,101,1001,35,191.3302633527279,0,0
2022-01-09,101,1001,32,84.63407384332234,0,0
2022-01-10,101,1001,27,76.00469802616581,0,0
2022-01-11,101,1001,21,96.75666141341165,0,0
2022-01-12,101,1001,26,54.69699386833379,0,0
2022-01-13,101,1001,9,139.68499682166276,0,1
2022-01-14,101,1001,28,194.17580365240238,0,0
2022-01-15,101,1001,35,174.3106263727894,0,0
2022-01-16,101,1001,58,74.79004085945037,1,0
2022-01-17,101,1001,46,94.02322620770572,1,0
2022-01-18,101,1001,23,165.69055200289188,0,0
2022-01-19,101,1001,44,179.46551388133904,1,0
2022-01-20,101,1001,28,105.62273782973995,0,0
2022-01-21,101,1001,28,91.20826894850963,0,0
2022-01-22,101,1001,33,156.98671808344926,0,0
2022-01-23,101,1001,31,88.41024841419859,0,0
2022-01-24,101,1001,29,115.90047527986552,0,0
2022-01-25,101,1001,23,97.15339716144899,0,0
2022-01-26,101,1001,40,130.976163695251,1,0
2022-01-27,101,1001,40,74.18319308810067,1,0
2022-01-28,101,1001,22,65.82413897454059,0,0
2022-01-29,101,1001,53,103.44467571154624,1,0
2022-01-30,101,1001,31,50.07805654929737,0,0
2022-01-31,101,1001,29,130.11341290631628,0,0
2022-02-01,101,1001,25,86.61882833716612,0,0
2022-02-02,101,1001,26,110.57542565870612,0,0
2022-02-03,101,1001,21,154.44564092596823,0,0
2022-02-04,101,1001,23,55.53304210317992,0,0
2022-02-05,101,1001,46,101.76068720400245,1,0
2022-02-06,101,1001,31,123.41791404163445,0,0
2022-02-07,101,1001,26,164.24294229930763,0,0
2022-02-08,101,1001,21,144.84587458903692,0,0
2022-02-09,101,1001,26,169.75176874768266,0,0
2022-02-10,101,1001,29,56.11627123321459,0,0
2022-02-11,101,1001,24,156.67242986570267,0,0
2022-02-12,101,1001,33,191.0784896734406,0,0
2022-02-13,101,1001,28,151.3535175558921,0,1
2022-02-14,101,1001,10,88.69124415727333,0,1
2022-02-15,101,1001,43,86.27784363506775,1,0
2022-02-16,101,1001,41,102.38143619189913,1,0
2022-02-17,101,1001,38,146.30474692314317,1,0
2022-02-18,101,1001,21,140.9643589489385,0,0
2022-02-19,101,1001,15,50.759237576932804,0,1
2022-02-20,101,1001,32,199.1686193916231,0,0
2022-02-21,101,1001,24,98.80995472389016,0,0
2022-02-22,101,1001,24,158.1409886378194,0,0
2022-02-23,101,1001,21,145.4498927278843,0,0
2022-02-24,101,1001,14,183.806983276567,0,1
2022-02-25,101,1001,22,150.33860894946494,0,0
2022-02-26,101,1001,31,92.11585436612836,0,0
2022-02-27,101,1001,33,199.18257661960115,0,0
2022-02-28,101,1001,33,132.9147450253235,1,1
2022-03-01,101,1001,36,107.76465929028879,1,0
2022-03-02,101,1001,27,105.9030300641074,0,0
2022-03-03,101,1001,32,81.33780764230403,1,1
2022-03-04,101,1001,26,94.29358826284081,0,0
2022-03-05,101,1001,40,155.37261259806638,0,0
2022-03-06,101,1001,37,171.5170092018771,0,0
2022-03-07,101,1001,29,50.77772941609802,0,0
2022-03-08,101,1001,24,155.2950315886555,0,0
2022-03-09,101,1001,23,64.09729097613035,0,0
2022-03-10,101,1001,27,73.25624250916164,0,0
2022-03-11,101,1001,26,55.60222831238217,0,0
2022-03-12,101,1001,36,98.99768626940613,0,0
2022-03-13,101,1001,38,143.43357137285005,0,0
2022-03-14,101,1001,37,154.9268316150791,1,0
2022-03-15,101,1001,9,98.44347094118689,0,1
2022-03-16,101,1001,21,161.6063964498673,0,0
2022-03-17,101,1001,14,114.24717124101616,0,1
2022-03-18,101,1001,14,85.96810387361049,0,1
2022-03-19,101,1001,36,91.99008454189143,0,0
2022-03-20,101,1001,37,159.5058974842728,0,0
2022-03-21,101,1001,23,163.67691656965536,0,0
2022-03-22,101,1001,29,64.12354824028402,0,0
2022-03-23,101,1001,24,164.50466345058663,0,0
2022-03-24,101,1001,25,115.07774738569596,0,0
2022-03-25,101,1001,14,56.795601465806676,0,1
2022-03-26,101,1001,40,178.47347617824835,0,0
2022-03-27,101,1001,35,191.58374068411356,0,0
2022-03-28,101,1001,22,191.03453621374365,0,0
2022-03-29,101,1001,28,69.27505298508653,0,0
2022-03-30,101,1001,35,147.7227157786682,1,0
2022-03-31,101,1001,22,100.48313223330896,0,0
2022-04-01,101,1001,30,53.49079036037388,0,0
2022-04-02,101,1001,32,153.93355380379091,0,0
2022-04-03,101,1001,32,160.26065657058285,0,0
2022-04-04,101,1001,38,162.59221274612875,1,0
2022-04-05,101,1001,36,166.46194411129954,1,0
2022-04-06,101,1001,42,151.9767169850369,1,0
2022-04-07,101,1001,27,185.382936001935,0,0
2022-04-08,101,1001,39,64.99773307427951,1,0
2022-04-09,101,1001,16,97.89704563856223,0,1
2022-04-10,101,1001,34,117.26682829674796,0,0
2022-04-11,101,1001,23,81.90918425363435,0,0
2022-04-12,101,1001,25,63.680915457303556,0,0
2022-04-13,101,1001,49,183.15562741374495,1,0
2022-04-14,101,1001,40,142.73270949743915,1,0
2022-04-15,101,1001,26,60.91445095462903,0,0
2022-04-16,101,1001,43,62.72565711277879,1,0
2022-04-17,101,1001,33,182.05399529576252,0,0
2022-04-18,101,1001,39,102.53273700504704,1,0
2022-04-19,101,1001,23,113.63330138704644,0,0
2022-04-20,101,1001,30,88.0523260809708,0,0
2022-04-21,101,1001,22,67.82268744021079,0,0
2022-04-22,101,1001,29,85.6259706938705,0,0
2022-04-23,101,1001,39,180.28986922841904,0,0
2022-04-24,101,1001,36,196.68510031314062,0,0
2022-04-25,101,1001,11,87.94852519838616,0,1
2022-04-26,101,1001,34,82.52136598797368,1,0
2022-04-27,101,1001,21,185.17370157364834,0,0
2022-04-28,101,1001,31,109.17826979121948,1,1
2022-04-29,101,1001,28,78.2181739585642,0,0
2022-04-30,101,1001,40,89.89068874463584,0,0
2022-05-01,101,1001,50,91.96452607534187,1,0
2022-05-02,101,1001,37,192.4699869937886,1,0
2022-05-03,101,1001,25,189.909272503102,0,0
2022-05-04,101,1001,22,111.68826748780536,0,0
2022-05-05,101,1001,36,162.43674499641082,1,0
2022-05-06,101,1001,39,120.30397396924555,1,0
2022-05-07,101,1001,33,61.30385905286935,0,0
2022-05-08,101,1001,31,186.97486283864643,0,0
2022-05-09,101,1001,8,106.67758239136796,0,1
2022-05-10,101,1001,25,193.10765408880835,0,0
2022-05-11,101,1001,24,142.71923606868438,0,0
2022-05-12,101,1001,28,121.43160451835213,0,0
2022-05-13,101,1001,23,132.78602581617284,0,0
2022-05-14,101,1001,35,138.49338457064542,0,0
2022-05-15,101,1001,37,155.61196521488353,0,0
2022-05-16,101,1001,34,138.48765302819496,1,0
2022-05-17,101,1001,36,117.63656711241566,1,0
2022-05-18,101,1001,27,169.47076635108158,0,0
2022-05-19,101,1001,49,59.93539667777988,1,0
2022-05-20,101,1001,39,81.36961866177712,1,0
2022-05-21,101,1001,33,137.71491589237306,0,0
2022-05-22,101,1001,36,154.47521993406184,0,0
2022-05-23,101,1001,41,195.96655239051566,1,0
2022-05-24,101,1001,30,101.76239417335802,0,0
2022-05-25,101,1001,30,68.09538066509012,0,0
2022-05-26,101,1001,29,69.31225974494659,0,0
2022-05-27,101,1001,30,169.9115598363564,0,0
2022-05-28,101,1001,39,73.54665240742906,0,0
2022-05-29,101,1001,31,162.23895355754877,0,0
